Game_Id,Game_Name,Game_Genres,Playtime_Minutes
105600,Terraria,Action,34
105600,Terraria,Adventure,34
105600,Terraria,Indie,34
105600,Terraria,RPG,34
218680,Scribblenauts Unlimited,Adventure,90
218680,Scribblenauts Unlimited,Casual,90
218680,Scribblenauts Unlimited,Strategy,90
219340,The Banner Saga: Factions,Free to Play,11
219340,The Banner Saga: Factions,Indie,11
219340,The Banner Saga: Factions,RPG,11
219340,The Banner Saga: Factions,Strategy,11
230410,Warframe,Action,293
230410,Warframe,RPG,293
230410,Warframe,Free to Play,293
238960,Path of Exile,Action,29
238960,Path of Exile,Adventure,29
238960,Path of Exile,Indie,29
238960,Path of Exile,Massively Multiplayer,29
238960,Path of Exile,RPG,29
238960,Path of Exile,Free to Play,29
258700,Dragon Nest Europe,Action,1227
258700,Dragon Nest Europe,Adventure,1227
258700,Dragon Nest Europe,Free to Play,1227
258700,Dragon Nest Europe,Massively Multiplayer,1227
258700,Dragon Nest Europe,RPG,1227
248570,Toribash,Action,555
248570,Toribash,Free to Play,555
248570,Toribash,Indie,555
248570,Toribash,Strategy,555
216150,MapleStory,Action,17040
216150,MapleStory,Adventure,17040
216150,MapleStory,Casual,17040
216150,MapleStory,Massively Multiplayer,17040
216150,MapleStory,RPG,17040
216150,MapleStory,Free to Play,17040
242760,The Forest,Action,806
242760,The Forest,Adventure,806
242760,The Forest,Indie,806
242760,The Forest,Simulation,806
239820,Game Dev Tycoon,Casual,356
239820,Game Dev Tycoon,Indie,356
239820,Game Dev Tycoon,Simulation,356
239820,Game Dev Tycoon,Strategy,356
269210,Hero Siege,Action,25
269210,Hero Siege,Adventure,25
269210,Hero Siege,Indie,25
269210,Hero Siege,Massively Multiplayer,25
269210,Hero Siege,RPG,25
271590,Grand Theft Auto V,Action,17
271590,Grand Theft Auto V,Adventure,17
311690,Enter the Gungeon,Action,20
311690,Enter the Gungeon,Adventure,20
311690,Enter the Gungeon,Indie,20
215080,WAKFU,Action,7705
215080,WAKFU,Adventure,7705
215080,WAKFU,Casual,7705
215080,WAKFU,Indie,7705
215080,WAKFU,Massively Multiplayer,7705
215080,WAKFU,RPG,7705
215080,WAKFU,Strategy,7705
215080,WAKFU,Free to Play,7705
268420,Aura Kingdom,Adventure,402
268420,Aura Kingdom,Casual,402
268420,Aura Kingdom,Free to Play,402
268420,Aura Kingdom,Massively Multiplayer,402
268420,Aura Kingdom,RPG,402
730,Counter-Strike 2,Action,4265
730,Counter-Strike 2,Free to Play,4265
346110,ARK: Survival Evolved,Action,98
346110,ARK: Survival Evolved,Adventure,98
346110,ARK: Survival Evolved,Indie,98
346110,ARK: Survival Evolved,Massively Multiplayer,98
346110,ARK: Survival Evolved,RPG,98
407530,ARK: Survival Of The Fittest,Action,0
407530,ARK: Survival Of The Fittest,Adventure,0
407530,ARK: Survival Of The Fittest,Indie,0
407530,ARK: Survival Of The Fittest,Massively Multiplayer,0
407530,ARK: Survival Of The Fittest,RPG,0
407530,ARK: Survival Of The Fittest,Strategy,0
365670,Blender,Animation & Modeling,0
365670,Blender,Design & Illustration,0
365670,Blender,Video Production,0
367500,Dragon's Dogma: Dark Arisen,Action,90
367500,Dragon's Dogma: Dark Arisen,Adventure,90
367500,Dragon's Dogma: Dark Arisen,RPG,90
322330,Don't Starve Together,Action,2634
322330,Don't Starve Together,Adventure,2634
322330,Don't Starve Together,Indie,2634
322330,Don't Starve Together,RPG,2634
322330,Don't Starve Together,Simulation,2634
322330,Don't Starve Together,Strategy,2634
261570,Ori and the Blind Forest,Action,0
387290,Ori and the Blind Forest: Definitive Edition,Action,37
291550,Brawlhalla,Action,36
291550,Brawlhalla,Indie,36
291550,Brawlhalla,Free to Play,36
413150,Stardew Valley,Indie,3944
413150,Stardew Valley,RPG,3944
413150,Stardew Valley,Simulation,3944
359550,Tom Clancy's Rainbow Six Siege,Action,10283
431960,Wallpaper Engine,Casual,125
431960,Wallpaper Engine,Indie,125
431960,Wallpaper Engine,Animation & Modeling,125
431960,Wallpaper Engine,Design & Illustration,125
431960,Wallpaper Engine,Photo Editing,125
431960,Wallpaper Engine,Utilities,125
433340,Slime Rancher,Action,0
433340,Slime Rancher,Adventure,0
433340,Slime Rancher,Indie,0
433340,Slime Rancher,Simulation,0
444090,Paladins,Action,95
444090,Paladins,Adventure,95
444090,Paladins,Massively Multiplayer,95
444090,Paladins,Strategy,95
444090,Paladins,Free to Play,95
504230,Celeste,Action,945
504230,Celeste,Adventure,945
504230,Celeste,Indie,945
319630,Life is Strange™,Action,0
319630,Life is Strange™,Adventure,0
593280,Cat Quest,Action,204
593280,Cat Quest,Adventure,204
593280,Cat Quest,Casual,204
593280,Cat Quest,Indie,204
593280,Cat Quest,RPG,204
632360,Risk of Rain 2,Action,883
632360,Risk of Rain 2,Indie,883
204300,Awesomenauts,Action,18
204300,Awesomenauts,Free to Play,18
204300,Awesomenauts,Indie,18
204300,Awesomenauts,Strategy,18
736260,Baba Is You,Indie,205
858210,Nova Drift,Action,1265
858210,Nova Drift,Indie,1265
858210,Nova Drift,Early Access,1265
714010,Aimlabs,Action,5560
714010,Aimlabs,Adventure,5560
714010,Aimlabs,Casual,5560
714010,Aimlabs,Indie,5560
714010,Aimlabs,Simulation,5560
714010,Aimlabs,Free to Play,5560
914710,Cat Quest II,Action,286
914710,Cat Quest II,Adventure,286
914710,Cat Quest II,Indie,286
914710,Cat Quest II,RPG,286
962580,Summer in Mara,Adventure,8
962580,Summer in Mara,Casual,8
962580,Summer in Mara,Simulation,8
1113000,Persona 4 Golden,RPG,829
